
===== pirlnav  (1 runs) =====
[nnmlpp8l] autumn-night-1                 | finished  | step=1772 | met={"overfit_long/metrics/spl": 0.5414036512374878, "overfit_long/metrics/softspl": 0.5384412407875061, "overfit_long/metrics/success": 1} | cfg={}
[5ahk8k0z] il_costmap_2ch_sp              | crashed   | step=930560 | met={"metrics/spl": 0.948308036154377, "metrics/softspl": 0.9203839708201892, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[tklbcecb] il_costmap_2ch_sp              | crashed   | step=1086080 | met={"metrics/spl": 0.9514022396649686, "metrics/softspl": 0.9259936293838166, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[37c3vkd8] il_costmap_2ch_sp              | crashed   | step=1284480 | met={"metrics/spl": 0.9500354397681452, "metrics/softspl": 0.9407069052419356, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[5fk9t12i] il_costmap_2ch_sp              | finished  | step=1694720 | met={"metrics/spl": 0.9488514836995676, "metrics/softspl": 0.9401109678944524, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[dpd4lmvs] il_costmap_2ch_sp              | finished  | step=1720320 | met={"metrics/spl": 0.943546826625387, "metrics/softspl": 0.933890044504644, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[dofk6qpo] il_costmap_2ch_sp              | finished  | step=2866880 | met={"metrics/spl": 0.949402034457478, "metrics/softspl": 0.9409108092008798, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[7j0451xk] il_rgb_sp_eval_ckpt9           | finished  | step=7202880 | met={"eval_metrics/spl": 0.00856886906642752, "eval_metrics/softspl": 0.1757518578280348, "eval_metrics/success": 0.018} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_rgb_sp/ckpt.9.pth", "CHECKPOINT_INTERVAL":
[qrglxarr] il_rgb_lr5e4_eval_ckpt7        | finished  | step=5602240 | met={"eval_metrics/spl": 0.008881004467126394, "eval_metrics/softspl": 0.15153659117291135, "eval_metrics/success": 0.018} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_rgb_sp_lr5e4/ckpt.7.pth", "CHECKPOINT_INTE
[n9rg9oef] il_costmap_2ch_sp              | finished  | step=8000000 | met={"metrics/spl": 0.9474388266509434, "metrics/softspl": 0.9396963443396228, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[lpyi4qsw] il_rgb_sp_eval_ckpt7           | finished  | step=5602240 | met={"eval_metrics/spl": 0.00522875664340891, "eval_metrics/softspl": 0.16847948335448854, "eval_metrics/success": 0.012} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_rgb_sp/ckpt.7.pth", "CHECKPOINT_INTERVAL":
[plw47mrt] il_rgb_lr5e4_eval_ckpt9        | finished  | step=7202880 | met={"eval_metrics/spl": 0.010979594583730117, "eval_metrics/softspl": 0.1661198120019032, "eval_metrics/success": 0.021} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_rgb_sp_lr5e4/ckpt.9.pth", "CHECKPOINT_INTE
[18zuxd61] il_rgb_lr5e4_eval_ckpt5        | finished  | step=4001600 | met={"eval_metrics/spl": 0.00927827015120449, "eval_metrics/softspl": 0.15302831661939137, "eval_metrics/success": 0.017} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_rgb_sp_lr5e4/ckpt.5.pth", "CHECKPOINT_INTE
